category	cohort	sample	file_type	key	url	size_bytes	last_modified
reference			reference_genes_gff	reference/H37Rv/GCF_000195955.2_ASM19595v2_genomic.GenesOnly.gff	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/reference/H37Rv/GCF_000195955.2_ASM19595v2_genomic.GenesOnly.gff	729707	2026-07-20T13:39:36Z
reference			reference_fasta_fai	reference/H37Rv/GCF_000195955.2_ASM19595v2_genomic.fasta.fai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/reference/H37Rv/GCF_000195955.2_ASM19595v2_genomic.fasta.fai	29	2026-07-20T13:39:35Z
reference			reference_fasta	reference/H37Rv/GCF_000195955.2_ASM19595v2_genomic.fasta	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/reference/H37Rv/GCF_000195955.2_ASM19595v2_genomic.fasta	4466740	2026-07-20T13:39:34Z
reference			reference_homology_map_bam_bai	reference/H37Rv_HomologyMap/H37Rv.HomologyMap.k19w19.SelfToSelfAln.bam.bai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/reference/H37Rv_HomologyMap/H37Rv.HomologyMap.k19w19.SelfToSelfAln.bam.bai	4360	2026-07-29T16:45:07Z
reference			reference_homology_map_bam	reference/H37Rv_HomologyMap/H37Rv.HomologyMap.k19w19.SelfToSelfAln.bam	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/reference/H37Rv_HomologyMap/H37Rv.HomologyMap.k19w19.SelfToSelfAln.bam	328070	2026-07-29T16:45:05Z
sample	Mtb151	01_R1134	lr_100x_crai	samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.Subsample100x.cram.crai	2185	2026-07-23T16:48:04Z
sample	Mtb151	01_R1134	lr_100x_cram	samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.Subsample100x.cram	290131747	2026-07-23T16:48:00Z
sample	Mtb151	01_R1134	lr_full_depth_crai	samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.primary_only.cram.crai	3054	2026-07-20T13:52:25Z
sample	Mtb151	01_R1134	lr_full_depth_cram	samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1134/01_R1134.LR.AlnToH37Rv.primary_only.cram	405896172	2026-07-20T13:52:24Z
sample	Mtb151	01_R1134	asm_crai	samples/Mtb151/01_R1134/01_R1134.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1134/01_R1134.mm2.AsmToH37Rv.asm10.cram.crai	68	2026-07-20T13:52:28Z
sample	Mtb151	01_R1134	asm_cram	samples/Mtb151/01_R1134/01_R1134.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1134/01_R1134.mm2.AsmToH37Rv.asm10.cram	792579	2026-07-20T13:52:26Z
sample	Mtb151	01_R1430	lr_100x_crai	samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.Subsample100x.cram.crai	2529	2026-07-23T16:46:44Z
sample	Mtb151	01_R1430	lr_100x_cram	samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.Subsample100x.cram	366881525	2026-07-23T16:46:40Z
sample	Mtb151	01_R1430	lr_full_depth_crai	samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.primary_only.cram.crai	4994	2026-07-20T13:52:39Z
sample	Mtb151	01_R1430	lr_full_depth_cram	samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1430/01_R1430.LR.AlnToH37Rv.primary_only.cram	736496867	2026-07-20T13:52:37Z
sample	Mtb151	01_R1430	asm_crai	samples/Mtb151/01_R1430/01_R1430.mm2.AsmToH37Rv.asm10.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1430/01_R1430.mm2.AsmToH37Rv.asm10.cram.crai	67	2026-07-20T13:52:42Z
sample	Mtb151	01_R1430	asm_cram	samples/Mtb151/01_R1430/01_R1430.mm2.AsmToH37Rv.asm10.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/01_R1430/01_R1430.mm2.AsmToH37Rv.asm10.cram	793654	2026-07-20T13:52:41Z
sample	Mtb151	02_R0894	lr_100x_crai	samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.Subsample100x.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.Subsample100x.cram.crai	2577	2026-07-23T16:46:54Z
sample	Mtb151	02_R0894	lr_100x_cram	samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.Subsample100x.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.Subsample100x.cram	383509935	2026-07-23T16:46:51Z
sample	Mtb151	02_R0894	lr_full_depth_crai	samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.primary_only.cram.crai	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.primary_only.cram.crai	4504	2026-07-20T13:52:51Z
sample	Mtb151	02_R0894	lr_full_depth_cram	samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.primary_only.cram	https://pub-4ffd5d52d77a41f7b1f7021fbd09c3d2.r2.dev/samples/Mtb151/02_R0894/02_R0894.LR.AlnToH37Rv.primary_only.cram	668250085	2026-07-20T13:52:49Z
