seqname	source	feature	start_1based	end_1based	score	strand	Parent_Node	Child_Node	neg_log_likelihood	snp_count	taxa_List	start_0based	CenterOfRegion	Lineage	Overlap_Genes	Overlap_Gene_RvIDs	Contains_Esx	Contains_PEPPE	Contains_REP13E12	NoOverlap_Wi_PEPPE_Esx_13E12_Genes	EventID	EventLen	HmAln_Count	HmAln_Ovrlap	HHR_Count	HHR_Ovrlap
NC_000962.3	GUBBINS	CDS	103600	104478	0.000	.	Node_148	Node_133	1737.432787	10	['mada_2-31', 'mada_1-41', 'MT_0080', 'mada_102', 'TB3334', 'mada_105', 'TB3169', 'M0014888_3', 'mada_151', 'mada_129', 'QC-4', 'QC-8', 'QC-10', '02_R1708', '02_R0894', 'mada_139', 'M0017522_5', 'S0106-01', 'R21770', 'R21839', 'R21363', 'mada_1-32', 'R30396', 'R20896', 'TB3251', 'M0016395_7', 'R15311', '02_R1179', 'TB3162', 'TB2661', 'TB3386', 'M0010874_7', 'QC-7', 'QC-6', 'QC-1', '01_R1430', 'M0011368_9', 'mada_103', 'mada_112', 'mada_124', 'S0123-01', 'S0262-02', '02_R1896', 'mada_2-25', 'TB3237', 'TB4620', 'M0016737_0', 'TB3054', 'mada_126', 'mada_120', '01_R1134', 'mada_1-38', 'TB2968', 'mada_123', 'R23571', 'mada_2-1', 'mada_1-50', 'mada_1-53', 'mada_2-53', 'mada_1-12', 'mada_128', 'mada_1-15', 'N1274', 'N0054', 'QC-3', 'QC-9', 'QC-5', 'N0004', 'mada_1-30', 'R21893', 'R30420', 'R32929', 'R26778', 'R23146', 'R28980', 'R21408', 'R20574', 'R20260', 'R26791', 'R27725', 'R18043', 'R18040', 'R27937', 'R22601', '18_0621851', 'N0155', 'mada_1-11', 'N0145', 'S0085-01', 'S0089-01', 'S0107-01', 'R29598', 'R24100', 'R28581', 'S0256-08', 'R37765', 'M0003941_3', 'mada_115', 'mada_2-42', 'TB2995', 'TB2512', 'TB2981', '706-05', 'TB3113', 'S0070-08', 'R29816', 'R36431', 'R24120', 'R28703', 'R30234', 'R31095', 'R30078', 'R28012', 'R27657', 'R30215', 'R25048', 'TB2780', 'TB3368', '8129-04', 'TB1236', 'TB2659', 'TB1612', 'TB3396', '4549-04', '696-05', '8651-04', 'TB3091', '702-06', '9050-05', '3003-06']	103599	104038.5	None	Rv0093c,Rv0094c	Rv0093c,Rv0094c	False	False	True	False	Event_001	879	2	1	1	1
NC_000962.3	GUBBINS	CDS	103676	103930	0.000	.	Node_3	N1177	1950.228311	5	['N1177']	103675	103802.5	lineage6	Rv0094c	Rv0094c	False	False	True	False	Event_002	255	2	1	1	1
NC_000962.3	GUBBINS	CDS	103823	103846	0.000	.	Node_146	N0153	1944.165722	4	['N0153']	103822	103834.0	lineage1	Rv0094c	Rv0094c	False	False	True	False	Event_003	24	2	1	1	1
NC_000962.3	GUBBINS	CDS	103823	104065	0.000	.	Node_134	R27252	2067.461166	6	['R27252']	103822	103943.5	lineage1	Rv0094c	Rv0094c	False	False	True	False	Event_004	243	2	1	1	1
NC_000962.3	GUBBINS	CDS	103823	104712	0.000	.	Node_4	Node_3	3155.350126	7	['N1177', 'N1202', 'N0091']	103822	104267.0	lineage6	Rv0094c	Rv0094c	False	False	True	False	Event_005	890	2	1	1	1
NC_000962.3	GUBBINS	CDS	103823	104941	0.000	.	Node_2	N0091	1750.558488	12	['N0091']	103822	104381.5	lineage6	Rv0094c,Rv0095c	Rv0094c,Rv0095c	False	False	True	False	Event_006	1119	2	1	1	1
NC_000962.3	GUBBINS	CDS	103823	105000	0.000	.	Node_149	RW-TB008	4639.341065	16	['RW-TB008']	103822	104411.0	lineage8	Rv0094c,Rv0095c	Rv0094c,Rv0095c	False	False	True	False	Event_007	1178	2	1	1	1
NC_000962.3	GUBBINS	CDS	103836	104283	0.000	.	Node_36	Node_28	639.18739	5	['M0016395_7', 'R15311']	103835	104059.0	lineage4	Rv0094c	Rv0094c	False	False	True	False	Event_008	448	2	1	1	1
NC_000962.3	GUBBINS	CDS	103836	104283	0.000	.	Node_69	Node_67	961.131709	4	['QC-3', 'QC-9', 'QC-5']	103835	104059.0	lineage3	Rv0094c	Rv0094c	False	False	True	False	Event_009	448	2	1	1	1
NC_000962.3	GUBBINS	CDS	103840	105045	0.000	.	Node_4	Node_1	3593.178381	31	['N1272', 'N1176']	103839	104442.0	lineage5	Rv0094c,Rv0095c	Rv0094c,Rv0095c	False	False	True	False	Event_010	1206	2	1	1	1
NC_000962.3	GUBBINS	CDS	103879	104283	0.000	.	Node_46	M0016737_0	1133.144121	4	['M0016737_0']	103878	104080.5	lineage4	Rv0094c	Rv0094c	False	False	True	False	Event_011	405	2	1	1	1
