Query_Name	Query_Start	Query_End	Strand	Target_Name	Target_Start	Target_End	Num_ResidueMatches	Aln_BlockLength	Prop_Match	Target_Middle	Query_Middle	Dist_Middles	Query_Length	Target_Length	QueryOverlap_Genes	TargetOverlap_Genes	QueryOverlap_TE	TargetOverlap_TE	Query_Contains_Esx	Query_Contains_PEPPE	Query_Contains_REP13E12	Query_NoOverlap_Wi_PEPPE_Esx_13E12_Genes	SeqID	Dist	QueryCoords	TargetCoords	QueryToTarget_ID	Query_Cluster	Query_Cluster_Start	Query_Cluster_End	Target_Cluster	Target_Cluster_Start	Target_Cluster_End
NC_000962.3	80184	80523	+	NC_000962.3	3082465	3082769	283	340	0.8323529411764706	3082617.0	80353.5	3002263.5	339	304	Rv0071	Rv2774c	0	0	False	False	False	True	83.23529411764706	1409268.5	NC_000962.3:80184-80523	NC_000962.3:3082465-3082769	NC_000962.3:80184-80523;NC_000962.3:3082465-3082769	0	80184	80523	134	3082465	3082769
NC_000962.3	80623	82664	+	NC_000962.3	2882289	2884330	1650	2058	0.8017492711370262	2883309.5	81643.5	2801666.0	2041	2041	Rv0072,Rv0073	Rv2563,glnQ	0	0	False	False	False	True	80.17492711370262	1609866.0	NC_000962.3:80623-82664	NC_000962.3:2882289-2884330	NC_000962.3:80623-82664;NC_000962.3:2882289-2884330	1	80623	82664	124	2882289	2884330
NC_000962.3	103705	105090	-	NC_000962.3	3883535	3884921	1346	1390	0.9683453237410072	3884228.0	104397.5	3779830.5	1385	1386	Rv0094c,Rv0095c	Rv3466,Rv3467	0	0	False	False	True	False	96.83453237410072	631701.5	NC_000962.3:103705-105090	NC_000962.3:3883535-3884921	NC_000962.3:103705-105090;NC_000962.3:3883535-3884921	2	103705	105130	177	3883535	3884921
NC_000962.3	103779	105130	+	NC_000962.3	1788513	1789865	1316	1354	0.9719350073855244	1789189.0	104454.5	1684734.5	1351	1352	Rv0094c,Rv0095c	Rv1587c,Rv1588c	0	0	False	False	True	False	97.19350073855244	1684734.5	NC_000962.3:103779-105130	NC_000962.3:1788513-1789865	NC_000962.3:103779-105130;NC_000962.3:1788513-1789865	2	103705	105130	73	1788513	1789865
NC_000962.3	149571	149808	-	NC_000962.3	1357376	1357613	195	241	0.8091286307053942	1357494.5	149689.5	1207805.0	237	237	PE_PGRS2	PE14	0	0	False	True	False	False	80.91286307053942	1207805.0	NC_000962.3:149571-149808	NC_000962.3:1357376-1357613	NC_000962.3:149571-149808;NC_000962.3:1357376-1357613	3	149571	149808	55	1357376	1357613
NC_000962.3	177203	177447	-	NC_000962.3	4077851	4078093	218	247	0.8825910931174089	4077972.0	177325.0	3900647.0	244	242		Rv3639c	0	0	False	False	False	True	88.25910931174089	510885.0	NC_000962.3:177203-177447	NC_000962.3:4077851-4078093	NC_000962.3:177203-177447;NC_000962.3:4077851-4078093	4	177203	177447	188	4077792	4078201
NC_000962.3	196950	204585	+	NC_000962.3	685218	692589	5568	7849	0.709389731175946	688903.5	200767.5	488136.0	7635	7371	yrbE1A,yrbE1B,mce1A,mce1B,mce1C,mce1D,lprK	yrbE2A,yrbE2B,mce2A,mce2B,Rv0590A,mce2C,mce2D,lprL	0	0	False	False	False	True	70.9389731175946	488136.0	NC_000962.3:196950-204585	NC_000962.3:685218-692589	NC_000962.3:196950-204585;NC_000962.3:685218-692589	5	196950	204585	26	685218	692589
NC_000962.3	272850	272955	-	NC_000962.3	4134600	4134729	99	129	0.7674418604651163	4134664.5	272902.5	3861762.0	105	129		Rv3693	0	0	False	False	False	True	76.74418604651163	549770.0	NC_000962.3:272850-272955	NC_000962.3:4134600-4134729	NC_000962.3:272850-272955;NC_000962.3:4134600-4134729	6	272850	272955	189	4134600	4134729
NC_000962.3	308996	309532	-	NC_000962.3	339372	339909	426	538	0.79182156133829	339640.5	309264.0	30376.5	536	537	PPE2	PPE3	0	0	False	True	False	False	79.182156133829	30376.5	NC_000962.3:308996-309532	NC_000962.3:339372-339909	NC_000962.3:308996-309532;NC_000962.3:339372-339909	7	308996	309532	11	339372	339909
NC_000962.3	309898	310042	+	NC_000962.3	1702706	1702849	128	144	0.8888888888888888	1702777.5	309970.0	1392807.5	144	143	Rv0257		0	0	False	False	False	True	88.88888888888889	1392807.5	NC_000962.3:309898-310042	NC_000962.3:1702706-1702849	NC_000962.3:309898-310042;NC_000962.3:1702706-1702849	8	309898	310101	67	1702675	1702849
